'CPT CODE RANGE','SURGERY FLAG'
'27282-27282','2'
'27284-27284','2'
'27286-27286','2'
'27290-27290','2'
'27295-27295','2'
'27301-27301','2'
'27303-27303','2'
'27305-27307','2'
'27310-27310','2'
'27315-27315','2'
'27320-27320','2'
'27325-27326','2'
'27327-27327','1'
'27328-27329','2'
'27330-27330','1'
'27331-27335','2'
'27337-27337','1'
'27339-27340','2'
'27345-27345','2'
'27347-27347','2'
'27350-27350','2'
'27355-27357','2'
'27360-27360','2'
'27364-27365','2'
'27372-27372','1'
'27380-27381','2'
'27385-27386','2'
'27390-27397','2'
'27400-27400','2'
'27403-27403','2'
'27405-27405','2'
'27407-27407','2'
'27409-27409','2'
'27412-27412','2'
'27415-27416','2'
'27418-27418','2'
'27420-27420','2'
'27422-27422','2'
'27424-27425','2'
'27427-27430','2'
'27435-27435','2'
'27437-27438','2'
'27440-27443','2'
'27445-27448','2'
'27450-27450','2'
'27454-27455','2'
'27457-27457','2'
'27465-27466','2'
'27468-27468','2'
'27470-27470','2'
'27472-27472','2'
'27475-27475','2'
'27477-27477','2'
'27479-27479','2'
'27485-27488','2'
'27495-27499','2'
'27506-27507','2'
'27509-27509','1'
'27511-27511','2'
'27513-27514','2'
'27519-27519','2'
'27524-27524','2'
'27535-27536','2'
'27540-27540','2'
'27556-27558','2'
'27566-27566','2'
'27570-27570','2'
'27580-27580','2'
'27590-27592','2'
'27594-27594','2'
'27596-27596','2'
'27598-27598','2'
'27600-27603','2'
'27604-27604','1'
'27605-27607','2'
'27610-27610','2'
'27612-27612','2'
'27615-27616','2'
'27618-27618','1'
'27619-27620','2'
'27625-27626','2'
'27630-27630','2'
'27632-27632','1'
'27634-27635','2'
'27637-27638','2'
'27640-27641','2'
'27645-27647','2'
'27650-27650','2'
'27652-27652','2'
'27654-27654','2'
'27656-27656','2'
'27658-27659','2'
'27664-27665','2'
'27675-27676','2'
'27680-27681','2'
'27685-27687','2'
'27690-27691','2'
'27695-27696','2'
'27698-27698','2'
'27700-27700','2'
'27702-27705','2'
'27707-27707','2'
'27709-27709','2'
'27712-27712','2'
'27715-27715','2'
'27720-27720','2'
'27722-27722','2'
'27724-27727','2'
'27730-27730','2'
'27732-27732','2'
'27734-27734','2'
'27740-27740','2'
'27742-27742','2'
'27745-27745','2'
'27756-27756','1'
'27758-27759','2'
'27766-27766','2'
'27769-27769','2'
'27784-27784','2'
'27792-27792','2'
