icd_cm,ver
'C7232',10
'C7240',10
'C7241',10
'C7242',10
'C7250',10
'C7259',10
'C729',10
'Z85841',10
'Z85848',10
'193',9
'25802',9
'25803',9
'V1087',9
'C73',10
'E3122',10
'E3123',10
'Z85850',10
'20100',9
'20101',9
'20102',9
'20103',9
'20104',9
'20105',9
'20106',9
'20107',9
'20108',9
'20110',9
'20111',9
'20112',9
'20113',9
'20114',9
'20115',9
'20116',9
'20117',9
'20118',9
'20120',9
'20121',9
'20122',9
'20123',9
'20124',9
'20125',9
'20126',9
'20127',9
'20128',9
'20140',9
'20141',9
'20142',9
'20143',9
'20144',9
'20145',9
'20146',9
'20147',9
'20148',9
'20150',9
'20151',9
'20152',9
'20153',9
'20154',9
'20155',9
'20156',9
'20157',9
'20158',9
'20160',9
'20161',9
'20162',9
'20163',9
'20164',9
'20165',9
'20166',9
'20167',9
'20168',9
'20170',9
'20171',9
'20172',9
'20173',9
'20174',9
'20175',9
'20176',9
'20177',9
'20178',9
'20190',9
'20191',9
'20192',9
'20193',9
'20194',9
'20195',9
'20196',9
'20197',9
'20198',9
'V1072',9
'C8100',10
'C8101',10
'C8102',10
'C8103',10
'C8104',10
'C8105',10
'C8106',10
'C8107',10
'C8108',10
'C8109',10
'C8110',10
'C8111',10
'C8112',10
'C8113',10
'C8114',10
'C8115',10
'C8116',10
'C8117',10
'C8118',10
'C8119',10
'C8120',10
'C8121',10
'C8122',10
'C8123',10
'C8124',10
'C8125',10
'C8126',10
'C8127',10
'C8128',10
'C8129',10
'C8130',10
'C8131',10
'C8132',10
'C8133',10
'C8134',10
'C8135',10
'C8136',10
'C8137',10
'C8138',10
'C8139',10
'C8140',10
'C8141',10
'C8142',10
'C8143',10
'C8144',10
'C8145',10
'C8146',10
'C8147',10
'C8148',10
'C8149',10
'C8170',10
'C8171',10
'C8172',10
'C8173',10
'C8174',10
'C8175',10
'C8176',10
'C8177',10
'C8178',10
'C8179',10
'C8190',10
'C8191',10
'C8192',10
'C8193',10
'C8194',10
'C8195',10
'C8196',10
'C8197',10
'C8198',10
'C8199',10
'Z8571',10
'20000',9
'20001',9
'20002',9
'20003',9
'20004',9
'20005',9
'20006',9
'20007',9
'20008',9
'20010',9
'20011',9
'20012',9
'20013',9
'20014',9
'20015',9
'20016',9
'20017',9
'20018',9
'20020',9
'20021',9
'20022',9
'20023',9
'20024',9
'20025',9
'20026',9
'20027',9
'20028',9
'20030',9
'20031',9
'20032',9
'20033',9
'20034',9
'20035',9
'20036',9
'20037',9
'20038',9
'20040',9
'20041',9
'20042',9
'20043',9
'20044',9
'20045',9
'20046',9
'20047',9
'20048',9
'20050',9
'20051',9
'20052',9
'20053',9
'20054',9
'20055',9
'20056',9
'20057',9
'20058',9
'20060',9
'20061',9
'20062',9
'20063',9
'20064',9
'20065',9
'20066',9
'20067',9
'20068',9
'20070',9
'20071',9
'20072',9
'20073',9
'20074',9
'20075',9
'20076',9
'20077',9
'20078',9
'20080',9
'20081',9
'20082',9
'20083',9
'20084',9
'20085',9
'20086',9
'20087',9
'20088',9
'20200',9
'20201',9
'20202',9
'20203',9
'20204',9
'20205',9
'20206',9
'20207',9
'20208',9
'20210',9
'20211',9
'20212',9
'20213',9
'20214',9
'20215',9
'20216',9
'20217',9
'20218',9
'20220',9
'20221',9
'20222',9
'20223',9
'20224',9
'20225',9
'20226',9
'20227',9
'20228',9
'20270',9
'20271',9
'20272',9
'20273',9
'20274',9
'20275',9
'20276',9
'20277',9
'20278',9
'20280',9
'20281',9
'20282',9
'20283',9
'20284',9
'20285',9
'20286',9
'20287',9
'20288',9
'20290',9
'20291',9
'20292',9
'20293',9
'20294',9
'20295',9
'20296',9
'20297',9
'20298',9
'V1071',9
'V1079',9
'C8200',10
'C8201',10
'C8202',10
'C8203',10
'C8204',10
'C8205',10
'C8206',10
'C8207',10
'C8208',10
'C8209',10
'C8210',10
'C8211',10
'C8212',10
'C8213',10
'C8214',10
'C8215',10
'C8216',10
'C8217',10
'C8218',10
'C8219',10
'C8220',10
'C8221',10
'C8222',10
'C8223',10
'C8224',10
'C8225',10
'C8226',10
'C8227',10
'C8228',10
'C8229',10
'C8230',10
'C8231',10
'C8232',10
'C8233',10
'C8234',10
'C8235',10
'C8236',10
'C8237',10
'C8238',10
'C8239',10
'C8240',10
'C8241',10
'C8242',10
'C8243',10
'C8244',10
'C8245',10
'C8246',10
'C8247',10
'C8248',10
'C8249',10
'C8250',10
'C8251',10
'C8252',10
'C8253',10
'C8254',10
'C8255',10
'C8256',10
'C8257',10
'C8258',10
'C8259',10
'C8260',10
'C8261',10
'C8262',10
'C8263',10
'C8264',10
'C8265',10
'C8266',10
'C8267',10
'C8268',10
'C8269',10
'C8280',10
'C8281',10
'C8282',10
'C8283',10
'C8284',10
'C8285',10
'C8286',10
'C8287',10
'C8288',10
'C8289',10
'C8290',10
'C8291',10
'C8292',10
'C8293',10
'C8294',10
'C8295',10
'C8296',10
'C8297',10
'C8298',10
'C8299',10
'C8300',10
'C8301',10
'C8302',10
'C8303',10
'C8304',10
'C8305',10
'C8306',10
'C8307',10
'C8308',10
'C8309',10
'C8310',10
'C8311',10
'C8312',10
'C8313',10
'C8314',10
'C8315',10
'C8316',10
'C8317',10
'C8318',10
'C8319',10
'C8330',10
'C8331',10
'C8332',10
'C8333',10
'C8334',10
'C8335',10
'C8336',10
'C8337',10
'C8338',10
'C8339',10
'C8350',10
'C8351',10
'C8352',10
'C8353',10
'C8354',10
'C8355',10
'C8356',10
'C8357',10
'C8358',10
'C8359',10
'C8370',10
'C8371',10
'C8372',10
'C8373',10
'C8374',10
'C8375',10
'C8376',10
'C8377',10
'C8378',10
'C8379',10
'C8380',10
'C8381',10
'C8382',10
'C8383',10
'C8384',10
'C8385',10
'C8386',10
'C8387',10
'C8388',10
'C8389',10
'C8390',10
'C8391',10
'C8392',10
'C8393',10
'C8394',10
'C8395',10
'C8396',10
'C8397',10
'C8398',10
'C8399',10
'C8400',10
'C8401',10
'C8402',10
'C8403',10
'C8404',10
'C8405',10
'C8406',10
'C8407',10
'C8408',10
'C8409',10
'C8410',10
'C8411',10
'C8412',10
'C8413',10
'C8414',10
'C8415',10
'C8416',10
'C8417',10
'C8418',10
'C8419',10
'C8440',10
'C8441',10
'C8442',10
'C8443',10
'C8444',10
'C8445',10
'C8446',10
'C8447',10
'C8448',10
'C8449',10
'C8460',10
'C8461',10
'C8462',10
'C8463',10
'C8464',10
'C8465',10
'C8466',10
'C8467',10
'C8468',10
'C8469',10
'C8470',10
'C8471',10
'C8472',10
'C8473',10
'C8474',10
'C8475',10
'C8476',10
'C8477',10
'C8478',10
'C8479',10
'C8490',10
'C8491',10
'C8492',10
'C8493',10
'C8494',10
'C8495',10
'C8496',10
'C8497',10
'C8498',10
'C8499',10
'C84A0',10
'C84A1',10
'C84A2',10
'C84A3',10
'C84A4',10
'C84A5',10
'C84A6',10
'C84A7',10
'C84A8',10
'C84A9',10
'C84Z0',10
'C84Z1',10
'C84Z2',10
'C84Z3',10
'C84Z4',10
'C84Z5',10
'C84Z6',10
'C84Z7',10
'C84Z8',10
'C84Z9',10
'C8510',10
'C8511',10
'C8512',10
'C8513',10
'C8514',10
'C8515',10
'C8516',10
'C8517',10
'C8518',10
'C8519',10
'C8520',10
'C8521',10
'C8522',10
'C8523',10
'C8524',10
'C8525',10
'C8526',10
'C8527',10
'C8528',10
'C8529',10
'C8580',10
'C8581',10
'C8582',10
'C8583',10
'C8584',10
'C8585',10
'C8586',10
'C8587',10
'C8588',10
'C8589',10
'C8590',10
'C8591',10
'C8592',10
'C8593',10
'C8594',10
'C8595',10
'C8596',10
'C8597',10
'C8598',10
'C8599',10
'C860',10
'C861',10
'C862',10
'C863',10
'C864',10
'C865',10
'C866',10
'C880',10
'C882',10
'C883',10
'C884',10
'C888',10
'C889',10
'C964',10
'C969',10
'C96Z',10
'Z8572',10
'Z8579',10
'20240',9
'20241',9
'20242',9
'20243',9
'20244',9
'20245',9
'20246',9
'20247',9
'20248',9
'2031',9
'20310',9
'20311',9
'20312',9
'2040',9
'20400',9
'20401',9
'20402',9
'2041',9
'20410',9
'20411',9
'20412',9
'2042',9
'20420',9
'20421',9
'20422',9
'2048',9
'20480',9
'20481',9
'20482',9
'2049',9
'20490',9
'20491',9
'20492',9
'2050',9
'20500',9
'20501',9
'20502',9
'2051',9
'20510',9
'20511',9
'20512',9
'2052',9
'20520',9
'20521',9
'20522',9
'2053',9
'20530',9
'20531',9
'20532',9
'2058',9
'20580',9
'20581',9
'20582',9
'2059',9
'20590',9
'20591',9
'20592',9
'2060',9
'20600',9
'20601',9
'20602',9
'2061',9
'20610',9
'20611',9
'20612',9
'2062',9
'20620',9
'20621',9
'20622',9
'2068',9
'20680',9
'20681',9
'20682',9
'2069',9
'20690',9
'20691',9
'20692',9
'2070',9
'20700',9
'20701',9
'20702',9
'2071',9
'20710',9
'20711',9
'20712',9
'2072',9
'20720',9
'20721',9
'20722',9
'2078',9
'20780',9
'20781',9
'20782',9
'2080',9
'20800',9
'20801',9
'20802',9
'2081',9
'20810',9
'20811',9
'20812',9
'2082',9
'20820',9
'20821',9
'20822',9
'2088',9
'20880',9
'20881',9
'20882',9
'2089',9
'20890',9
'20891',9
'20892',9
'V1060',9
'V1061',9
'V1062',9
'V1063',9
'V1069',9
'C9010',10
'C9011',10
'C9012',10
'C9100',10
'C9101',10
'C9102',10
'C9110',10
'C9111',10
'C9112',10
'C9130',10
'C9131',10
'C9132',10
'C9140',10
'C9141',10
'C9142',10
'C9150',10
'C9151',10
'C9152',10
'C9160',10
'C9161',10
'C9162',10
'C9190',10
'C9191',10
'C9192',10
'C91A0',10
'C91A1',10
'C91A2',10
'C91Z0',10
'C91Z1',10
'C91Z2',10
'C9200',10
'C9201',10
'C9202',10
'C9210',10
'C9211',10
'C9212',10
'C9220',10
'C9221',10
'C9222',10
'C9230',10
'C9231',10
'C9232',10
'C9240',10
'C9241',10
'C9242',10
'C9250',10
'C9251',10
'C9252',10
'C9260',10
'C9261',10
'C9262',10
'C9290',10
